dms_orig,dms_dest,fr_inmode,dms_mode,fr_outmode,sctg2,trade_type,dist_band,value_2017,tons_2017,tmiles_2017
50,486,,1,,3,1,4,3.001721,6.005998,3.067177
50,489,,1,,3,1,4,17.400869,41.665146,22.993999
50,519,,1,,3,1,5,0.623633,1.694886,1.492825
61,11,,1,,3,1,8,1.197631,0.013221,0.027162
61,19,,1,,3,1,8,3.00056,0.125234,0.259553
61,20,,4,,3,1,8,0.000102,5e-05,0.000114
61,20,,5,,3,1,8,2.052125,0.687863,1.901625
61,41,,1,,3,1,3,423.995819,315.068573,118.870794
61,41,,5,,3,1,4,0.000145,0.000426,0.000221
61,42,,1,,3,1,4,8.002827,22.925392,11.595142
61,42,,5,,3,1,4,0.000138,9.8e-05,5.2e-05
61,49,,1,,3,1,3,21.982643,6.990014,3.03735
61,50,,1,,3,1,7,62.015915,8.017049,13.377468
61,61,,1,,3,1,1,12347.936523,8421.600586,281.802066
61,61,,5,,3,1,1,36.011906,0.978509,0.075302
61,62,,1,,3,1,3,305.041168,151.524826,66.271821
61,62,,5,,3,1,4,0.004664,0.000543,0.000278
61,63,,1,,3,1,2,597.44397,367.423462,41.218905
61,63,,5,,3,1,2,9.002725,0.16922,0.021302
61,64,,1,,3,1,3,646.912842,223.836273,90.68578
61,64,,5,,3,1,3,1.000208,0.01873,0.009051
61,65,,1,,3,1,3,176.404373,142.013336,36.495601
61,65,,5,,3,1,3,0.00015,0.000344,0.000107
61,69,,1,,3,1,3,691.819458,491.979584,168.819622
61,69,,5,,3,1,3,0.999509,0.018758,0.008043
61,81,,1,,3,1,6,158.95459,100.076477,103.021595
61,89,,1,,3,1,6,0.007253,0.067335,0.06738
61,89,,5,,3,1,6,7.996103,0.15029,0.185892
61,91,,5,,3,1,8,0.533506,0.066808,0.294785
61,92,,1,,3,1,8,6.999984,1.000176,2.923822
61,111,,1,,3,1,8,0.0334,0.427273,1.141895
61,121,,1,,3,1,8,5.992042,0.999696,2.420514
61,122,,1,,3,1,8,52.99374,25.010597,68.346638
61,122,,5,,3,1,8,0.82904,0.005519,0.015472
61,123,,1,,3,1,8,17.002438,3.004333,7.497287
61,124,,1,,3,1,8,0.000148,0.000212,0.000532
61,124,,5,,3,1,8,1.000292,0.014087,0.034912
61,129,,1,,3,1,8,103.006958,18.036236,43.244207
61,129,,5,,3,1,8,34.015396,0.109746,0.27746
61,131,,1,,3,1,8,83.007736,51.079113,112.70977
61,139,,1,,3,1,8,4.628286,0.093365,0.213396
61,139,,5,,3,1,8,3.832798,0.019889,0.051528
61,151,,4,,3,1,8,11.846198,4.108304,10.59334
61,151,,5,,3,1,8,51.713337,55.108894,144.582943
61,159,,4,,3,1,8,0.000974,5.3e-05,0.000135
61,159,,5,,3,1,8,18.472826,8.533333,23.195487
61,160,,1,,3,1,6,26.062122,82.054863,82.083152
61,171,,1,,3,1,8,48.000774,21.339725,43.476887
61,171,,5,,3,1,8,10.005739,0.193501,0.422598
61,179,,1,,3,1,7,125.040024,21.036127,41.233015
61,181,,1,,3,1,8,8.000405,3.008221,6.198975
61,182,,1,,3,1,8,16.00038,19.05275,40.556463
61,183,,1,,3,1,8,11.541597,1.904247,4.149275
61,189,,1,,3,1,8,35.008175,3.006069,6.35697
61,190,,1,,3,1,7,0.000185,0.000124,0.000217
61,201,,1,,3,1,7,17.012741,9.96104,16.111721
61,209,,1,,3,1,6,7.023049,3.006587,4.198985
61,211,,1,,3,1,8,0.087281,0.00115,0.002569
61,212,,1,,3,1,8,0.091169,0.001804,0.003865
61,219,,1,,3,1,8,8.000039,2.003182,4.309175
61,223,,1,,3,1,7,19.000872,5.005349,9.50815
61,229,,1,,3,1,7,3.29598,0.286596,0.500656
61,230,,1,,3,1,8,4.67492,1.789208,5.730448
61,230,,5,,3,1,8,79.548851,0.369407,2.029236
61,241,,1,,3,1,8,61.996426,33.040524,89.785791
61,242,,1,,3,1,8,112.988396,14.015568,37.699525
61,242,,5,,3,1,8,2.102744,0.008768,0.033202
61,251,,1,,3,1,8,28.003948,9.00838,27.602809
61,251,,5,,3,1,8,2.00147,0.037553,0.184651
61,261,,1,,3,1,8,111.996132,16.04924,36.570246
61,261,,5,,3,1,8,1.079795,0.004597,0.011474
61,262,,1,,3,1,8,7.035153,0.069175,0.151405
61,262,,5,,3,1,8,11.543553,0.045969,0.110106
61,269,,1,,3,1,8,0.999782,0.12502,0.28535
61,271,,1,,3,1,7,38.995415,18.050568,34.834355
61,271,,5,,3,1,8,0.000146,0.000357,0.000791
61,279,,1,,3,1,7,28.012321,13.885337,26.518499
61,280,,1,,3,1,7,6.000137,1.001801,1.891852
61,291,,1,,3,1,7,11.010526,6.011976,9.967186
61,292,,1,,3,1,7,10.002179,4.010079,7.398779
61,292,,5,,3,1,8,3.456098,0.015425,0.031293
61,299,,1,,3,1,7,0.387095,0.006687,0.011703
61,300,,1,,3,1,6,6.011606,2.000837,2.63591
61,319,,1,,3,1,6,7.005554,2.005132,2.869207
61,319,,5,,3,1,7,17.015228,0.102682,0.175252
61,321,,1,,3,1,3,115.791824,47.205349,13.265678
61,329,,1,,3,1,4,12.449535,5.418224,3.012138
61,341,,1,,3,1,8,259.066498,35.0233,100.20418
61,341,,5,,3,1,8,0.000138,0.000431,0.001761
61,342,,1,,3,1,8,1.489646,0.01916,0.054192
61,350,,1,,3,1,5,38.985119,14.994836,12.727001
61,350,,5,,3,1,5,0.000146,0.000389,0.000376
61,361,,1,,3,1,8,11.999172,3.999725,11.625277
61,362,,1,,3,1,8,3.001054,17.009806,43.638223
61,362,,5,,3,1,8,33.433292,0.175638,0.481926
61,363,,1,,3,1,8,315.058319,92.072632,262.531429
61,363,,5,,3,1,8,1.000608,0.018778,0.0807
61,364,,1,,3,1,8,5.009028,2.002565,5.322669
61,369,,1,,3,1,8,3.87037,0.049192,0.136182
61,371,,1,,3,1,8,24.992361,3.001259,7.265115
61,372,,1,,3,1,8,0.999916,1.000745,2.459548
61,373,,1,,3,1,8,18.673723,0.321141,0.817059
61,379,,1,,3,1,8,416.985321,5.011668,12.62453
61,379,,5,,3,1,8,20.411892,0.107657,0.332317
61,380,,1,,3,1,7,0.437272,0.020912,0.036248
61,392,,1,,3,1,8,3.000925,1.002596,2.387654
61,392,,5,,3,1,8,0.000137,0.000351,0.0009
61,393,,1,,3,1,8,169.000534,41.101536,94.788496
61,394,,1,,3,1,8,4.093271,4.005479,8.926284
61,399,,1,,3,1,8,0.108014,1.027337,2.376978
61,399,,5,,3,1,8,8.572335,0.045648,0.115218
61,401,,1,,3,1,6,33.1721,9.033943,12.133174
61,402,,1,,3,1,6,6.690368,2.913117,4.222123
61,409,,1,,3,1,6,0.707459,0.008999,0.012257
61,411,,1,,3,1,5,226.84465,81.767845,79.65302
61,411,,5,,3,1,6,4.465441,0.022418,0.0264
61,419,,1,,3,1,5,18.969488,1.978674,1.861887
61,421,,1,,3,1,8,41.007214,13.01482,36.552477
61,422,,1,,3,1,8,8.001376,2.004679,4.960812
